epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
1,0.2865,0.0170,0.2739,0.4794,0.7277,0.6680,0.6698,174
2,0.2536,0.0102,0.2456,0.4506,0.8877,0.5760,0.5727,180
3,0.2528,0.0096,0.2450,0.4490,0.9969,0.5294,0.5369,177
4,0.2502,0.0094,0.2427,0.4351,1.0514,0.5079,0.5158,175
5,0.2459,0.0090,0.2385,0.4166,1.1205,0.4889,0.4931,176
6,0.2434,0.0090,0.2360,0.4085,1.0841,0.5101,0.5301,177
7,0.2423,0.0091,0.2349,0.4036,1.1182,0.5180,0.5078,179
8,0.2398,0.0091,0.2321,0.3956,1.3381,0.4073,0.4176,174
9,0.2378,0.0086,0.2304,0.3904,1.3321,0.4485,0.4367,173
10,0.2367,0.0084,0.2294,0.3852,1.3658,0.4259,0.4244,175
11,0.2354,0.0084,0.2282,0.3839,1.2973,0.4489,0.4479,176
12,0.2306,0.0090,0.2230,0.3694,1.3062,0.4812,0.4484,174
13,0.2272,0.0096,0.2190,0.3583,1.4594,0.3991,0.3848,174
14,0.2243,0.0083,0.2170,0.3539,1.4865,0.3907,0.3792,176
15,0.2218,0.0083,0.2145,0.3480,1.5030,0.4065,0.4033,177
16,0.2202,0.0085,0.2128,0.3437,1.4730,0.4154,0.3966,177
17,0.2172,0.0077,0.2101,0.3352,1.6787,0.3440,0.3325,177
18,0.2114,0.0074,0.2046,0.3213,1.6535,0.3667,0.3515,174
19,0.2108,0.0070,0.2040,0.3207,1.8980,0.2844,0.2681,180
20,0.2081,0.0067,0.2016,0.3137,1.8911,0.2890,0.2682,177
21,0.2077,0.0064,0.2010,0.3105,2.1259,0.2334,0.2203,177
22,0.2046,0.0067,0.1979,0.3033,2.0983,0.2472,0.2294,176
23,0.2031,0.0067,0.1961,0.2995,2.3389,0.1878,0.1798,176
24,0.1999,0.0064,0.1929,0.2903,2.5839,0.1723,0.1648,177
25,0.1975,0.0061,0.1909,0.2875,2.3435,0.2265,0.2136,176
26,0.1959,0.0059,0.1895,0.2839,2.3283,0.2261,0.2093,173
27,0.1920,0.0056,0.1855,0.2753,2.5152,0.1840,0.1848,174
28,0.1927,0.0057,0.1864,0.2779,2.3165,0.2334,0.2237,173
29,0.1915,0.0057,0.1850,0.2743,2.5478,0.1791,0.1734,176
30,0.1886,0.0056,0.1820,0.2687,2.5990,0.1841,0.1815,175
31,0.1877,0.0058,0.1808,0.2653,2.8890,0.1335,0.1347,174
32,0.1864,0.0057,0.1794,0.2608,3.1094,0.1134,0.1149,175
33,0.1818,0.0058,0.1749,0.2530,2.8715,0.1398,0.1387,176
34,0.1812,0.0056,0.1739,0.2505,3.3686,0.1079,0.1132,174
35,0.1804,0.0057,0.1731,0.2486,3.3712,0.1107,0.1074,171
36,0.1782,0.0058,0.1709,0.2455,3.2202,0.1291,0.1283,174
37,0.1751,0.0053,0.1682,0.2401,3.1382,0.1401,0.1452,172
