epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
1,0.2991,0.0251,0.2807,0.4703,0.8487,0.5823,0.5898,63
2,0.2537,0.0105,0.2453,0.4601,1.0485,0.4965,0.4889,62
3,0.2515,0.0106,0.2430,0.4562,1.1684,0.4659,0.4653,62
4,0.2493,0.0103,0.2407,0.4499,1.3456,0.4027,0.4006,62
5,0.2476,0.0108,0.2386,0.4380,1.3788,0.4230,0.4168,62
6,0.2456,0.0106,0.2368,0.4286,1.4536,0.3803,0.3798,62
7,0.2453,0.0110,0.2361,0.4265,1.4916,0.3703,0.3777,62
8,0.2441,0.0100,0.2356,0.4230,1.4660,0.3844,0.3932,62
9,0.2431,0.0108,0.2341,0.4170,1.4753,0.4277,0.4192,62
10,0.2419,0.0102,0.2334,0.4149,1.4003,0.4176,0.4143,62
11,0.2406,0.0090,0.2330,0.4133,1.3821,0.4641,0.4566,62
12,0.2393,0.0091,0.2316,0.4073,1.3199,0.4711,0.4817,62
13,0.2388,0.0088,0.2313,0.4076,1.4202,0.4277,0.4289,62
14,0.2384,0.0093,0.2305,0.4064,1.3287,0.4676,0.4728,62
15,0.2378,0.0096,0.2299,0.4063,1.2899,0.5006,0.5096,62
16,0.2376,0.0091,0.2298,0.4061,1.3465,0.4757,0.4599,62
17,0.2369,0.0087,0.2295,0.4055,1.3717,0.4642,0.4522,62
18,0.2359,0.0089,0.2282,0.4027,1.4691,0.4024,0.4019,62
19,0.2333,0.0087,0.2259,0.3927,1.3930,0.4503,0.4519,62
20,0.2291,0.0087,0.2217,0.3791,1.2955,0.5387,0.4911,62
21,0.2263,0.0090,0.2187,0.3698,1.2949,0.4863,0.4854,62
22,0.2233,0.0082,0.2163,0.3634,1.3008,0.4880,0.4897,62
23,0.2190,0.0086,0.2117,0.3503,1.2619,0.4902,0.4823,62
24,0.2150,0.0079,0.2083,0.3420,1.1896,0.5428,0.5121,62
25,0.2131,0.0076,0.2067,0.3391,1.0717,0.5948,0.5789,62
26,0.2116,0.0073,0.2056,0.3374,0.8698,0.6831,0.6832,62
27,0.2096,0.0067,0.2041,0.3334,0.7697,0.6991,0.6896,62
28,0.2076,0.0066,0.2022,0.3282,0.8114,0.6576,0.6555,62
29,0.2020,0.0073,0.1960,0.3120,0.9138,0.5848,0.5817,62
