epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
1,0.2918,0.0202,0.2767,0.4587,0.8481,0.5983,0.5903,72
2,0.2496,0.0098,0.2417,0.4330,1.0046,0.5439,0.5269,71
3,0.2482,0.0090,0.2409,0.4285,0.9995,0.5489,0.5441,71
4,0.2466,0.0078,0.2401,0.4224,0.9788,0.5590,0.5584,71
5,0.2444,0.0069,0.2386,0.4164,0.9682,0.5510,0.5638,71
6,0.2378,0.0086,0.2306,0.3910,1.1516,0.4703,0.4648,71
7,0.2315,0.0088,0.2241,0.3713,1.2085,0.4472,0.4447,71
8,0.2300,0.0080,0.2232,0.3671,1.1451,0.4803,0.4834,71
9,0.2280,0.0068,0.2221,0.3646,1.1321,0.5087,0.5073,71
10,0.2256,0.0076,0.2192,0.3567,1.1179,0.5114,0.5057,71
11,0.2178,0.0083,0.2108,0.3354,1.2354,0.4413,0.4394,71
12,0.2137,0.0077,0.2070,0.3259,1.3065,0.4024,0.4021,71
13,0.2071,0.0080,0.2001,0.3126,1.3556,0.4079,0.4013,71
14,0.1965,0.0086,0.1890,0.2875,1.5158,0.3454,0.3364,71
15,0.1891,0.0086,0.1815,0.2726,1.6423,0.3003,0.2938,71
16,0.1831,0.0079,0.1759,0.2600,1.7808,0.2715,0.2613,71
17,0.1792,0.0075,0.1721,0.2533,1.8457,0.2656,0.2529,71
18,0.1779,0.0073,0.1710,0.2505,1.7769,0.2834,0.2682,71
19,0.1729,0.0080,0.1656,0.2400,1.7635,0.3088,0.2915,71
20,0.1701,0.0075,0.1631,0.2355,1.7070,0.3225,0.3070,71
21,0.1691,0.0076,0.1621,0.2334,1.6899,0.3183,0.3062,71
22,0.1655,0.0082,0.1579,0.2242,1.8270,0.2731,0.2542,71
23,0.1620,0.0080,0.1545,0.2177,1.8456,0.2808,0.2672,71
24,0.1546,0.0083,0.1466,0.2018,2.1120,0.2177,0.2031,71
25,0.1516,0.0085,0.1436,0.1960,2.1108,0.2185,0.2173,71
26,0.1503,0.0085,0.1423,0.1929,2.1235,0.2208,0.2115,71
27,0.1468,0.0090,0.1382,0.1847,2.2466,0.1967,0.1805,71
28,0.1443,0.0089,0.1359,0.1803,2.1989,0.2031,0.1951,71
29,0.1434,0.0088,0.1350,0.1793,2.2409,0.2340,0.2247,71
30,0.1424,0.0082,0.1345,0.1777,2.1983,0.2148,0.1948,71
31,0.1421,0.0083,0.1341,0.1777,2.1499,0.2413,0.2301,71
32,0.1414,0.0082,0.1335,0.1763,2.1455,0.2230,0.2127,71
33,0.1406,0.0079,0.1330,0.1761,2.0863,0.2496,0.2365,71
34,0.1402,0.0077,0.1327,0.1746,2.0909,0.2405,0.2286,71
35,0.1378,0.0079,0.1302,0.1692,2.0920,0.2364,0.2241,71
36,0.1352,0.0077,0.1278,0.1648,2.0413,0.2424,0.2353,71
