epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
1,0.2779,0.0306,0.2556,0.4684,0.8862,0.6033,0.5968,209
2,0.2590,0.0178,0.2455,0.4517,1.1019,0.5383,0.5295,215
3,0.2552,0.0134,0.2446,0.4494,1.2286,0.5172,0.5116,223
4,0.2527,0.0112,0.2436,0.4434,1.2465,0.5173,0.5178,210
5,0.2503,0.0095,0.2424,0.4372,1.1413,0.5484,0.5561,210
6,0.2478,0.0088,0.2406,0.4275,1.0980,0.5577,0.5583,210
7,0.2439,0.0089,0.2365,0.4105,1.1767,0.5178,0.5135,210
8,0.2393,0.0091,0.2316,0.3925,1.4271,0.4291,0.4195,210
9,0.2360,0.0088,0.2282,0.3810,1.5887,0.3800,0.3686,210
10,0.2340,0.0082,0.2268,0.3774,1.5047,0.4302,0.4153,210
11,0.2324,0.0084,0.2249,0.3722,1.5514,0.4246,0.4182,210
12,0.2292,0.0079,0.2221,0.3649,1.5956,0.4206,0.4041,210
13,0.2285,0.0076,0.2216,0.3647,1.5796,0.4352,0.4180,210
14,0.2271,0.0071,0.2205,0.3625,1.6010,0.4129,0.4020,210
15,0.2240,0.0075,0.2171,0.3540,1.6535,0.3959,0.3797,210
16,0.2220,0.0074,0.2151,0.3493,1.7289,0.3737,0.3622,210
17,0.2195,0.0075,0.2124,0.3447,1.7864,0.3604,0.3506,210
18,0.2166,0.0074,0.2096,0.3371,1.8163,0.3672,0.3545,210
19,0.2143,0.0075,0.2072,0.3297,1.8228,0.3612,0.3488,210
20,0.2104,0.0072,0.2034,0.3221,1.9679,0.3290,0.3195,210
21,0.2095,0.0070,0.2026,0.3191,1.9803,0.3304,0.3187,210
22,0.2085,0.0067,0.2019,0.3197,1.9455,0.3422,0.3291,210
23,0.2080,0.0064,0.2016,0.3194,1.8794,0.3483,0.3401,210
24,0.2068,0.0062,0.2006,0.3169,1.8602,0.3544,0.3459,210
25,0.2054,0.0065,0.1989,0.3124,1.9482,0.3375,0.3347,210
26,0.2026,0.0065,0.1960,0.3047,2.0206,0.3216,0.3179,210
27,0.2019,0.0061,0.1956,0.3044,1.9961,0.3311,0.3283,210
28,0.1986,0.0063,0.1921,0.2947,2.1414,0.2944,0.2947,210
29,0.1966,0.0061,0.1902,0.2909,2.1391,0.3037,0.2885,210
30,0.1961,0.0059,0.1899,0.2912,2.0333,0.3155,0.3061,210
31,0.1945,0.0059,0.1882,0.2878,2.0841,0.2971,0.2907,210
32,0.1914,0.0061,0.1848,0.2808,2.3077,0.2770,0.2624,210
33,0.1904,0.0060,0.1839,0.2787,2.2759,0.2751,0.2650,210
34,0.1894,0.0058,0.1831,0.2782,2.2453,0.2771,0.2702,211
35,0.1890,0.0058,0.1827,0.2771,2.2461,0.2889,0.2798,210
36,0.1885,0.0057,0.1823,0.2756,2.1882,0.2942,0.2834,211
37,0.1879,0.0054,0.1819,0.2754,2.1779,0.2959,0.2855,210
38,0.1874,0.0052,0.1815,0.2745,2.1671,0.2959,0.2795,210
39,0.1851,0.0057,0.1788,0.2676,2.3107,0.2618,0.2506,210
40,0.1830,0.0058,0.1766,0.2636,2.4093,0.2583,0.2488,210
41,0.1825,0.0056,0.1762,0.2624,2.3448,0.2647,0.2542,211
42,0.1820,0.0056,0.1757,0.2623,2.3389,0.2715,0.2626,210
43,0.1815,0.0055,0.1753,0.2621,2.3408,0.2687,0.2589,211
44,0.1809,0.0054,0.1749,0.2615,2.2983,0.2755,0.2601,210
45,0.1785,0.0058,0.1720,0.2539,2.4839,0.2431,0.2296,210
46,0.1771,0.0058,0.1705,0.2506,2.4590,0.2505,0.2426,210
47,0.1757,0.0057,0.1693,0.2483,2.4082,0.2671,0.2565,210
48,0.1760,0.0056,0.1696,0.2497,2.4235,0.2495,0.2375,210
49,0.1756,0.0057,0.1691,0.2493,2.4359,0.2519,0.2410,210
50,0.1755,0.0056,0.1692,0.2493,2.4081,0.2571,0.2533,211
51,0.1759,0.0055,0.1696,0.2497,2.4184,0.2554,0.2465,210
52,0.1746,0.0054,0.1684,0.2472,2.4026,0.2564,0.2472,210
53,0.1746,0.0054,0.1684,0.2475,2.4309,0.2523,0.2390,210
54,0.1746,0.0054,0.1684,0.2480,2.4292,0.2580,0.2556,210
55,0.1743,0.0054,0.1680,0.2474,2.4642,0.2472,0.2372,210
56,0.1745,0.0054,0.1683,0.2482,2.4122,0.2506,0.2444,210
57,0.1741,0.0053,0.1680,0.2475,2.4047,0.2602,0.2485,210
58,0.1738,0.0052,0.1677,0.2472,2.4400,0.2586,0.2499,210
59,0.1731,0.0053,0.1669,0.2458,2.5052,0.2371,0.2293,210
60,0.1727,0.0053,0.1665,0.2440,2.5459,0.2432,0.2365,210
61,0.1709,0.0056,0.1644,0.2393,2.6394,0.2233,0.2129,210
62,0.1704,0.0054,0.1640,0.2391,2.6573,0.2283,0.2227,210
63,0.1695,0.0056,0.1630,0.2366,2.6607,0.2322,0.2205,210
64,0.1695,0.0054,0.1631,0.2380,2.6375,0.2231,0.2106,210
65,0.1692,0.0051,0.1630,0.2379,2.6402,0.2267,0.2212,210
66,0.1691,0.0052,0.1629,0.2375,2.6319,0.2299,0.2259,210
67,0.1686,0.0051,0.1624,0.2368,2.6622,0.2252,0.2137,210
68,0.1683,0.0050,0.1622,0.2366,2.5998,0.2247,0.2230,210
69,0.1680,0.0049,0.1619,0.2367,2.6505,0.2295,0.2240,210
70,0.1680,0.0047,0.1621,0.2372,2.6250,0.2247,0.2168,210
71,0.1675,0.0048,0.1615,0.2354,2.6260,0.2214,0.2158,210
72,0.1669,0.0046,0.1611,0.2345,2.5671,0.2373,0.2288,210
73,0.1674,0.0046,0.1614,0.2356,2.6717,0.2148,0.2103,210
74,0.1654,0.0050,0.1591,0.2306,2.7590,0.2106,0.1962,210
75,0.1640,0.0051,0.1575,0.2265,2.8866,0.1923,0.1853,210
76,0.1626,0.0050,0.1563,0.2242,2.8427,0.1987,0.1921,210
77,0.1624,0.0050,0.1560,0.2236,2.8257,0.2067,0.2025,210
78,0.1623,0.0048,0.1561,0.2239,2.8054,0.1972,0.1933,210
79,0.1626,0.0048,0.1565,0.2246,2.7548,0.2145,0.2059,210
80,0.1622,0.0048,0.1560,0.2240,2.8177,0.2051,0.2012,210
81,0.1615,0.0047,0.1555,0.2233,2.7320,0.2165,0.2070,210
82,0.1619,0.0049,0.1558,0.2231,2.7321,0.2210,0.2114,210
83,0.1616,0.0047,0.1555,0.2233,2.8043,0.1962,0.1948,210
84,0.1615,0.0047,0.1554,0.2230,2.8277,0.1933,0.1915,210
85,0.1607,0.0046,0.1547,0.2216,2.7999,0.2058,0.2052,210
86,0.1607,0.0045,0.1548,0.2215,2.7998,0.2124,0.2033,210
87,0.1603,0.0045,0.1544,0.2208,2.7713,0.1974,0.1880,210
88,0.1608,0.0046,0.1548,0.2223,2.7842,0.2161,0.2132,210
89,0.1593,0.0048,0.1530,0.2181,2.9621,0.1813,0.1747,210
90,0.1573,0.0048,0.1509,0.2140,3.0434,0.1767,0.1689,210
91,0.1571,0.0048,0.1507,0.2129,3.0023,0.1796,0.1728,210
92,0.1568,0.0048,0.1504,0.2131,2.9962,0.1869,0.1831,209
93,0.1559,0.0046,0.1497,0.2112,3.0117,0.1752,0.1718,210
94,0.1561,0.0048,0.1498,0.2115,2.9580,0.1849,0.1769,210
95,0.1559,0.0047,0.1497,0.2116,2.9701,0.1937,0.1887,209
96,0.1554,0.0047,0.1491,0.2101,2.9405,0.1974,0.1917,210
