epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
1,0.2876,0.0168,0.2751,0.4886,0.7330,0.6577,0.6676,92
2,0.2556,0.0074,0.2497,0.4817,0.8273,0.6113,0.6142,92
3,0.2552,0.0076,0.2490,0.4754,0.8874,0.5751,0.5863,92
4,0.2541,0.0073,0.2480,0.4637,0.9577,0.5544,0.5545,92
5,0.2531,0.0067,0.2475,0.4573,0.9479,0.5876,0.5879,92
6,0.2533,0.0072,0.2473,0.4563,0.9392,0.5815,0.5823,92
7,0.2528,0.0070,0.2469,0.4557,0.9444,0.5776,0.5745,92
8,0.2524,0.0066,0.2468,0.4538,0.9281,0.5912,0.5983,92
9,0.2519,0.0068,0.2462,0.4512,0.9702,0.5738,0.5609,92
10,0.2510,0.0069,0.2452,0.4449,0.9904,0.5514,0.5594,92
11,0.2503,0.0077,0.2440,0.4398,0.9327,0.5887,0.5819,92
12,0.2476,0.0072,0.2416,0.4285,0.9523,0.5599,0.5609,92
13,0.2441,0.0071,0.2381,0.4145,1.0204,0.5398,0.5403,92
14,0.2392,0.0068,0.2329,0.3944,1.5576,0.3238,0.3309,92
15,0.2350,0.0073,0.2277,0.3779,2.1654,0.1831,0.1828,92
16,0.2318,0.0072,0.2249,0.3708,1.9267,0.2660,0.2601,92
17,0.2303,0.0068,0.2238,0.3682,1.7907,0.2954,0.2947,92
18,0.2284,0.0063,0.2226,0.3653,1.3660,0.4287,0.4258,92
19,0.2280,0.0063,0.2221,0.3650,1.4333,0.4173,0.4125,92
20,0.2269,0.0062,0.2209,0.3621,1.6251,0.3279,0.3200,92
21,0.2212,0.0056,0.2157,0.3488,1.6532,0.3239,0.3268,92
22,0.2166,0.0063,0.2106,0.3358,1.6337,0.3247,0.3369,92
23,0.2124,0.0055,0.2070,0.3276,1.5779,0.3582,0.3560,92
24,0.2112,0.0054,0.2058,0.3244,1.6089,0.3347,0.3369,92
25,0.2066,0.0055,0.2010,0.3142,1.7467,0.2952,0.2923,92
26,0.2024,0.0049,0.1973,0.3054,1.7154,0.2958,0.2994,92
27,0.1976,0.0054,0.1920,0.2943,1.8271,0.2629,0.2676,92
28,0.1959,0.0052,0.1905,0.2918,1.7793,0.2833,0.2775,92
29,0.1921,0.0050,0.1867,0.2830,1.8661,0.2524,0.2481,92
30,0.1892,0.0051,0.1837,0.2778,1.9098,0.2487,0.2510,92
31,0.1881,0.0051,0.1826,0.2744,1.9469,0.2433,0.2380,92
32,0.1833,0.0048,0.1779,0.2643,2.0125,0.2061,0.2075,92
33,0.1798,0.0053,0.1740,0.2566,2.0477,0.2074,0.2071,92
34,0.1760,0.0051,0.1704,0.2483,2.0772,0.2161,0.2117,92
35,0.1745,0.0054,0.1687,0.2462,1.9683,0.2373,0.2358,92
36,0.1739,0.0046,0.1688,0.2474,1.8992,0.2508,0.2471,92
37,0.1724,0.0044,0.1674,0.2443,1.9498,0.2376,0.2345,92
38,0.1725,0.0045,0.1674,0.2451,1.9189,0.2412,0.2384,92
39,0.1721,0.0043,0.1672,0.2426,1.8893,0.2505,0.2470,92
40,0.1716,0.0044,0.1667,0.2431,1.8279,0.2704,0.2677,92
41,0.1718,0.0044,0.1669,0.2440,1.7843,0.2770,0.2797,92
42,0.1712,0.0041,0.1665,0.2427,1.8614,0.2532,0.2516,92
43,0.1707,0.0042,0.1659,0.2417,1.8422,0.2708,0.2655,92
44,0.1700,0.0038,0.1655,0.2414,1.8239,0.2674,0.2655,92
45,0.1677,0.0035,0.1633,0.2355,1.9771,0.2179,0.2203,92
46,0.1654,0.0042,0.1604,0.2300,2.0379,0.2200,0.2194,92
47,0.1640,0.0037,0.1594,0.2290,1.9924,0.2319,0.2324,92
48,0.1629,0.0036,0.1585,0.2268,1.8916,0.2686,0.2721,92
49,0.1630,0.0035,0.1586,0.2268,1.9191,0.2384,0.2383,92
50,0.1630,0.0033,0.1588,0.2275,1.8479,0.2655,0.2652,92
51,0.1621,0.0032,0.1580,0.2250,1.7948,0.2810,0.2793,92
52,0.1616,0.0033,0.1573,0.2232,1.8815,0.2534,0.2573,92
53,0.1566,0.0033,0.1522,0.2136,2.0461,0.2137,0.2164,92
54,0.1558,0.0030,0.1517,0.2127,1.9141,0.2475,0.2449,92
55,0.1546,0.0029,0.1507,0.2113,1.8910,0.2610,0.2637,92
56,0.1545,0.0031,0.1504,0.2112,1.8627,0.2690,0.2660,92
57,0.1550,0.0033,0.1508,0.2113,1.8976,0.2491,0.2477,92
58,0.1542,0.0030,0.1502,0.2109,1.8990,0.2498,0.2547,92
59,0.1544,0.0030,0.1504,0.2106,1.8710,0.2613,0.2612,92
60,0.1536,0.0028,0.1499,0.2097,1.8355,0.2615,0.2633,92
61,0.1531,0.0028,0.1493,0.2085,1.9038,0.2476,0.2539,92
62,0.1500,0.0030,0.1457,0.2005,2.2049,0.1916,0.1966,92
63,0.1478,0.0029,0.1437,0.1964,2.1008,0.2202,0.2220,92
