epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
1,0.2929,0.0182,0.2794,0.4733,0.7281,0.6753,0.6699,92
2,0.2513,0.0095,0.2439,0.4392,0.7159,0.678,0.6818,92
3,0.2496,0.0097,0.2421,0.4285,0.7918,0.6321,0.6297,92
4,0.2483,0.0088,0.2413,0.4271,0.8585,0.5882,0.5937,92
5,0.2473,0.0078,0.2409,0.425,0.9319,0.5633,0.5602,92
6,0.2462,0.0075,0.24,0.4208,0.9816,0.5422,0.5411,92
7,0.2436,0.0072,0.2374,0.4111,1.0634,0.5008,0.496,92
8,0.2416,0.008,0.2349,0.403,1.0862,0.4991,0.5003,92
9,0.2384,0.0075,0.2321,0.3942,1.08,0.5042,0.5006,92
10,0.2375,0.0078,0.231,0.3904,1.0032,0.562,0.5556,92
11,0.2353,0.0071,0.2292,0.385,1.0395,0.5248,0.5279,92
12,0.2274,0.008,0.2207,0.3608,1.0929,0.5003,0.4941,92
13,0.2193,0.0077,0.2127,0.3406,1.2495,0.4225,0.4326,92
14,0.2133,0.007,0.2068,0.3262,1.6141,0.3007,0.2912,92
15,0.2086,0.007,0.202,0.3166,1.6727,0.3003,0.2861,92
16,0.2003,0.0072,0.1934,0.297,1.7764,0.274,0.2568,92
17,0.1939,0.0074,0.1869,0.2837,1.8391,0.2842,0.2731,92
18,0.1888,0.0063,0.1825,0.2742,1.8614,0.2822,0.2649,92
19,0.1846,0.0073,0.1775,0.2628,1.9795,0.2279,0.2229,92
20,0.181,0.0075,0.1737,0.255,2.0796,0.2174,0.2055,92
21,0.1781,0.0075,0.1706,0.2494,2.249,0.1796,0.1715,92
22,0.1747,0.0075,0.1671,0.2423,2.3143,0.1763,0.1693,92
23,0.1696,0.0081,0.1615,0.2309,2.4643,0.1559,0.1478,92
24,0.1648,0.008,0.1567,0.2213,2.5664,0.1334,0.13,92
25,0.1604,0.0083,0.1519,0.2115,2.7058,0.1223,0.1152,92
26,0.1575,0.0075,0.1496,0.207,2.6235,0.1371,0.1335,92
27,0.1559,0.0077,0.1479,0.2035,2.5899,0.1446,0.1367,92
28,0.1527,0.0082,0.1443,0.1971,2.6985,0.1303,0.1206,92
29,0.1496,0.0081,0.1414,0.191,2.5584,0.1456,0.139,92
30,0.1492,0.0085,0.1408,0.1904,2.3843,0.1823,0.1817,92
31,0.1474,0.0074,0.1399,0.1883,2.3273,0.1857,0.1818,92
32,0.145,0.0073,0.1376,0.1835,2.319,0.1976,0.1983,92
33,0.1405,0.0075,0.133,0.1745,2.2807,0.1985,0.1946,92
34,0.1389,0.0076,0.1314,0.1711,2.1794,0.2176,0.2152,92
35,0.135,0.0082,0.127,0.1629,2.2142,0.2001,0.1974,92
36,0.1285,0.0092,0.1196,0.148,2.3869,0.1849,0.1756,92
37,0.1255,0.009,0.1169,0.143,2.1947,0.2061,0.203,92
38,0.1233,0.0084,0.1153,0.1416,2.1008,0.2225,0.2184,92
39,0.1231,0.0084,0.115,0.14,2.2013,0.192,0.1881,92
40,0.1222,0.0079,0.1143,0.1387,2.3406,0.1658,0.1655,92
41,0.1205,0.0079,0.1125,0.135,2.5642,0.1278,0.1305,92
42,0.1166,0.0076,0.1083,0.1268,2.954,0.0835,0.0868,92
43,0.1152,0.0077,0.1068,0.1244,2.9739,0.0974,0.0941,92
44,0.114,0.0071,0.1059,0.1223,3.1398,0.0788,0.0785,92
45,0.1097,0.0069,0.1016,0.114,3.3489,0.067,0.0699,92
46,0.1074,0.007,0.0991,0.1098,3.4839,0.0609,0.0633,92
47,0.1046,0.007,0.0962,0.1029,3.525,0.0738,0.0724,92
48,0.1009,0.0068,0.0925,0.0966,3.6565,0.0653,0.0666,92
49,0.0991,0.0066,0.0912,0.0943,3.3144,0.0979,0.0881,92
50,0.0981,0.0061,0.0906,0.0934,3.2194,0.0959,0.0972,92
51,0.0966,0.0061,0.0893,0.0913,2.9582,0.133,0.1299,92
52,0.0931,0.0059,0.0861,0.0838,2.9852,0.0989,0.1026,92
53,0.0917,0.006,0.0845,0.082,2.9588,0.128,0.1125,92
54,0.0902,0.0062,0.083,0.0797,2.8575,0.124,0.1195,92
55,0.089,0.0059,0.0822,0.0792,2.6919,0.1447,0.1399,92
56,0.0888,0.006,0.082,0.0774,2.6052,0.1836,0.1736,92
57,0.0883,0.0058,0.0815,0.0779,2.7287,0.1427,0.1391,92
58,0.088,0.0054,0.0814,0.0777,2.7691,0.1205,0.1214,92
59,0.0879,0.0057,0.0812,0.0771,2.732,0.1381,0.1387,92
60,0.0872,0.0059,0.0802,0.0754,2.8579,0.1207,0.1126,92
61,0.0831,0.0056,0.076,0.0659,3.1916,0.0782,0.0779,92
62,0.0821,0.0059,0.0749,0.0654,3.0914,0.0985,0.0985,92
63,0.0806,0.0055,0.0738,0.0629,2.9475,0.1213,0.1162,92
64,0.0806,0.0055,0.0737,0.0625,3.069,0.0955,0.0934,92
65,0.08,0.0053,0.0731,0.0621,3.1184,0.0931,0.0909,92
66,0.0786,0.0051,0.072,0.0592,3.1216,0.1006,0.0998,92
67,0.0756,0.0051,0.0685,0.0535,3.5633,0.0567,0.0583,92
68,0.0738,0.005,0.0669,0.0506,3.4442,0.0755,0.0737,92
69,0.0734,0.0053,0.0662,0.0499,3.5197,0.0611,0.0622,92
70,0.0736,0.0053,0.0663,0.0494,3.6415,0.0577,0.059,92
71,0.0736,0.005,0.0666,0.0504,3.5131,0.0716,0.0748,92
72,0.0726,0.0049,0.0659,0.0497,3.2085,0.1147,0.1126,92
73,0.0725,0.0048,0.0656,0.0491,3.5362,0.0774,0.0739,92
74,0.0726,0.0051,0.0656,0.0495,3.3752,0.0983,0.0924,92
75,0.0737,0.0051,0.0665,0.0502,3.5999,0.0651,0.0731,92
76,0.0702,0.0046,0.0644,0.0473,2.533,0.2494,0.2586,92
77,0.0721,0.0048,0.0655,0.0485,3.1425,0.1057,0.1036,92
78,0.0722,0.005,0.0653,0.0483,3.3937,0.0914,0.0923,92
79,0.0728,0.0044,0.0661,0.0501,3.6537,0.076,0.0742,92
80,0.072,0.0045,0.0652,0.0479,3.6316,0.0868,0.0866,92
