epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
1,0.2930,0.0217,0.2770,0.4548,0.7846,0.6430,0.6281,91
2,0.2478,0.0113,0.2389,0.4189,0.9574,0.5426,0.5325,90
3,0.2430,0.0114,0.2340,0.3993,1.0194,0.5307,0.5291,90
4,0.2378,0.0109,0.2291,0.3826,1.0522,0.5055,0.5165,90
5,0.2322,0.0093,0.2246,0.3704,1.0564,0.4982,0.5083,90
6,0.2270,0.0105,0.2185,0.3554,1.1231,0.4741,0.4809,90
7,0.2192,0.0089,0.2119,0.3399,1.1634,0.4643,0.4636,91
8,0.2147,0.0084,0.2077,0.3299,1.0600,0.5268,0.5288,90
9,0.2124,0.0082,0.2057,0.3255,1.0043,0.5745,0.5645,90
10,0.2049,0.0083,0.1980,0.3076,1.0317,0.5376,0.5283,90
11,0.1942,0.0086,0.1872,0.2840,1.0094,0.5523,0.5511,90
12,0.1903,0.0075,0.1838,0.2780,1.2865,0.4411,0.4436,90
13,0.1860,0.0084,0.1787,0.2674,1.3928,0.3863,0.3774,90
14,0.1796,0.0085,0.1721,0.2538,1.5170,0.3583,0.3341,90
15,0.1716,0.0087,0.1639,0.2356,1.6547,0.2998,0.2852,90
16,0.1641,0.0081,0.1567,0.2213,1.7724,0.2658,0.2496,90
17,0.1606,0.0086,0.1529,0.2136,1.7238,0.2824,0.2700,90
18,0.1520,0.0082,0.1445,0.1966,1.7834,0.2934,0.2711,90
19,0.1474,0.0084,0.1398,0.1881,1.7161,0.3193,0.2999,90
20,0.1415,0.0085,0.1338,0.1760,1.8595,0.2756,0.2596,90
21,0.1329,0.0083,0.1252,0.1582,1.9056,0.2605,0.2452,90
22,0.1271,0.0080,0.1196,0.1481,1.9481,0.2667,0.2432,90
23,0.1245,0.0084,0.1167,0.1429,1.8674,0.2797,0.2620,90
24,0.1212,0.0074,0.1141,0.1372,1.9275,0.2588,0.2417,90
25,0.1171,0.0082,0.1095,0.1286,1.9149,0.2833,0.2634,90
26,0.1156,0.0080,0.1081,0.1264,1.8877,0.2884,0.2701,90
27,0.1134,0.0076,0.1061,0.1230,1.9503,0.2560,0.2483,90
28,0.1100,0.0085,0.1021,0.1151,1.9615,0.2541,0.2378,90
29,0.1066,0.0080,0.0990,0.1098,1.8981,0.2723,0.2626,90
30,0.1064,0.0074,0.0993,0.1104,1.9491,0.2433,0.2359,90
31,0.1047,0.0077,0.0973,0.1064,1.9751,0.2521,0.2433,90
32,0.0992,0.0078,0.0914,0.0944,2.2574,0.1774,0.1703,90
33,0.0946,0.0085,0.0864,0.0844,2.2582,0.1970,0.1942,90
34,0.0927,0.0086,0.0844,0.0815,2.2077,0.1974,0.1959,90
35,0.0914,0.0079,0.0836,0.0804,2.2589,0.1762,0.1768,90
36,0.0901,0.0075,0.0826,0.0779,2.3051,0.1893,0.1846,90
37,0.0868,0.0079,0.0787,0.0704,2.5162,0.1435,0.1435,90
38,0.0845,0.0082,0.0763,0.0668,2.4938,0.1652,0.1648,90
39,0.0838,0.0079,0.0760,0.0666,2.3278,0.1961,0.1989,90
40,0.0837,0.0082,0.0757,0.0665,2.3481,0.1947,0.1872,90
41,0.0828,0.0077,0.0751,0.0659,2.2842,0.1949,0.1904,90
42,0.0802,0.0076,0.0724,0.0609,2.4311,0.1859,0.1868,90
43,0.0768,0.0076,0.0689,0.0547,2.5664,0.1484,0.1487,90
44,0.0729,0.0074,0.0651,0.0475,2.6306,0.1466,0.1465,90
45,0.0693,0.0072,0.0617,0.0417,2.6327,0.1690,0.1680,90
46,0.0679,0.0072,0.0603,0.0400,2.5103,0.1913,0.1857,90
47,0.0669,0.0072,0.0594,0.0389,2.5243,0.1695,0.1655,90
48,0.0675,0.0073,0.0598,0.0391,2.5832,0.1505,0.1466,90
49,0.0668,0.0074,0.0591,0.0387,2.4736,0.1793,0.1823,90
50,0.0662,0.0070,0.0588,0.0379,2.4449,0.2058,0.2135,90
51,0.0667,0.0068,0.0592,0.0386,2.7411,0.1322,0.1265,90
52,0.0661,0.0072,0.0585,0.0372,2.5190,0.1873,0.1794,90
53,0.0661,0.0073,0.0585,0.0378,2.5319,0.1957,0.1907,90
54,0.0652,0.0063,0.0582,0.0372,2.6212,0.1669,0.1673,90
55,0.0649,0.0061,0.0580,0.0373,2.6134,0.1605,0.1572,90
56,0.0658,0.0068,0.0583,0.0373,2.7682,0.1464,0.1474,90
57,0.0656,0.0063,0.0585,0.0375,2.7107,0.1717,0.1759,90
58,0.0647,0.0066,0.0573,0.0358,2.7180,0.1502,0.1435,90
59,0.0644,0.0060,0.0574,0.0357,2.7627,0.1660,0.1514,90
60,0.0647,0.0060,0.0578,0.0367,2.6194,0.1757,0.1718,90
61,0.0653,0.0065,0.0579,0.0365,2.7726,0.1586,0.1550,90
62,0.0641,0.0057,0.0574,0.0359,2.7183,0.1654,0.1622,90
63,0.0645,0.0061,0.0575,0.0363,2.8426,0.1513,0.1479,90
64,0.0649,0.0059,0.0577,0.0365,3.0488,0.1080,0.1091,90
65,0.0650,0.0063,0.0577,0.0368,2.8780,0.1625,0.1636,90
66,0.0643,0.0065,0.0572,0.0356,2.6286,0.1987,0.1979,90
67,0.0649,0.0065,0.0574,0.0357,2.9553,0.1523,0.1566,90
68,0.0643,0.0060,0.0572,0.0355,2.8818,0.1527,0.1500,90
69,0.0647,0.0062,0.0571,0.0358,3.2740,0.1027,0.1083,90
70,0.0647,0.0060,0.0574,0.0355,3.0625,0.1386,0.1335,90
71,0.0642,0.0058,0.0572,0.0361,2.9402,0.1579,0.1612,90
72,0.0638,0.0056,0.0569,0.0355,3.0403,0.1395,0.1334,90
73,0.0648,0.0058,0.0577,0.0368,3.0501,0.1495,0.1492,90
74,0.0645,0.0059,0.0575,0.0362,2.8880,0.1624,0.1563,90
75,0.0631,0.0058,0.0564,0.0346,2.6265,0.2197,0.2162,90
76,0.0642,0.0061,0.0572,0.0358,2.7758,0.1981,0.1842,90
77,0.0629,0.0055,0.0564,0.0349,2.6803,0.1911,0.1901,90
78,0.0641,0.0058,0.0571,0.0354,2.8816,0.1545,0.1492,90
79,0.0636,0.0057,0.0571,0.0356,2.5889,0.2218,0.2178,90
80,0.0638,0.0055,0.0572,0.0359,2.6947,0.1853,0.1778,90
81,0.0636,0.0054,0.0570,0.0359,2.7947,0.1844,0.1770,90
82,0.0629,0.0054,0.0565,0.0351,2.7199,0.2103,0.2061,90
83,0.0634,0.0054,0.0568,0.0351,2.7925,0.1804,0.1813,90
84,0.0634,0.0059,0.0564,0.0344,2.8286,0.1816,0.1760,90
85,0.0625,0.0056,0.0558,0.0334,2.8786,0.1630,0.1579,90
86,0.0603,0.0058,0.0532,0.0299,3.0302,0.1618,0.1600,90
87,0.0579,0.0052,0.0514,0.0277,2.8803,0.1680,0.1630,90
