epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
1,0.2862,0.0223,0.2697,0.4484,0.8558,0.5791,0.5862,194
2,0.2500,0.0144,0.2387,0.4155,1.1940,0.4551,0.4612,194
3,0.2461,0.0134,0.2356,0.4038,1.0993,0.4946,0.5091,193
4,0.2419,0.0128,0.2318,0.3914,1.1236,0.4984,0.4955,193
5,0.2350,0.0114,0.2258,0.3745,1.1603,0.4707,0.4694,193
6,0.2235,0.0105,0.2149,0.3467,1.2277,0.4568,0.4433,193
7,0.2141,0.0101,0.2059,0.3251,1.1476,0.5277,0.5120,193
8,0.2052,0.0088,0.1981,0.3082,0.9027,0.6208,0.6184,193
9,0.1922,0.0095,0.1846,0.2792,0.9340,0.6137,0.6040,193
10,0.1827,0.0095,0.1746,0.2585,1.4258,0.3676,0.3570,193
11,0.1751,0.0097,0.1666,0.2424,1.6793,0.3195,0.3065,189
12,0.1688,0.0090,0.1609,0.2296,1.6338,0.3300,0.3117,193
13,0.1627,0.0084,0.1552,0.2192,1.5776,0.3623,0.3384,193
14,0.1582,0.0091,0.1502,0.2091,1.6400,0.3205,0.3054,192
15,0.1548,0.0085,0.1472,0.2034,1.6425,0.3178,0.3051,192
16,0.1531,0.0082,0.1457,0.2016,1.6929,0.2970,0.2857,192
17,0.1497,0.0090,0.1416,0.1927,1.8364,0.2612,0.2525,192
18,0.1461,0.0087,0.1383,0.1862,1.7789,0.2950,0.2879,192
19,0.1446,0.0081,0.1372,0.1847,1.7363,0.3021,0.2958,192
20,0.1398,0.0085,0.1321,0.1736,1.7817,0.2986,0.2848,192
21,0.1362,0.0083,0.1288,0.1670,1.6252,0.3286,0.3240,189
22,0.1321,0.0087,0.1242,0.1588,1.8239,0.2734,0.2715,193
23,0.1290,0.0083,0.1216,0.1532,1.6333,0.3404,0.3412,192
24,0.1267,0.0083,0.1192,0.1483,1.6371,0.3407,0.3298,192
25,0.1214,0.0079,0.1142,0.1392,1.6363,0.3425,0.3321,192
26,0.1210,0.0081,0.1137,0.1387,1.6005,0.3546,0.3489,192
27,0.1202,0.0076,0.1134,0.1378,1.5557,0.3536,0.3491,192
28,0.1197,0.0081,0.1125,0.1362,1.4911,0.4081,0.4039,192
29,0.1179,0.0071,0.1115,0.1343,1.4595,0.4189,0.4205,192
30,0.1149,0.0079,0.1078,0.1262,1.5936,0.3455,0.3463,192
31,0.1130,0.0073,0.1062,0.1240,1.6937,0.3357,0.3272,189
32,0.1112,0.0072,0.1047,0.1211,1.5260,0.3966,0.3872,193
33,0.1110,0.0071,0.1045,0.1212,1.5019,0.3902,0.3891,192
34,0.1101,0.0072,0.1036,0.1190,1.4537,0.4197,0.4199,192
35,0.1097,0.0069,0.1034,0.1185,1.4689,0.4029,0.3956,192
36,0.1068,0.0070,0.1004,0.1132,1.5256,0.3844,0.3916,192
37,0.1041,0.0069,0.0977,0.1086,1.6070,0.3569,0.3390,192
38,0.1027,0.0071,0.0961,0.1054,1.5935,0.3607,0.3589,192
39,0.0991,0.0066,0.0927,0.0987,1.7492,0.3005,0.2966,192
40,0.0959,0.0073,0.0891,0.0917,1.6912,0.3561,0.3478,192
41,0.0948,0.0061,0.0889,0.0927,1.6540,0.3313,0.3395,189
42,0.0948,0.0067,0.0884,0.0915,1.7007,0.3299,0.3284,193
43,0.0949,0.0071,0.0883,0.0904,1.6096,0.3881,0.3784,192
44,0.0939,0.0060,0.0880,0.0911,1.6601,0.3455,0.3462,192
45,0.0925,0.0063,0.0863,0.0877,1.7809,0.3094,0.3114,192
46,0.0872,0.0063,0.0811,0.0779,1.7688,0.3292,0.3236,192
47,0.0861,0.0058,0.0803,0.0764,1.7634,0.3189,0.3176,192
48,0.0860,0.0061,0.0799,0.0761,1.7818,0.3448,0.3492,192
49,0.0860,0.0059,0.0802,0.0770,1.6469,0.3701,0.3615,192
50,0.0852,0.0062,0.0792,0.0747,1.6793,0.3707,0.3695,192
51,0.0850,0.0054,0.0797,0.0756,1.4648,0.4586,0.4411,189
52,0.0845,0.0057,0.0790,0.0746,1.4812,0.4407,0.4224,192
53,0.0844,0.0054,0.0790,0.0749,1.6093,0.3651,0.3594,192
54,0.0842,0.0053,0.0789,0.0750,1.5784,0.4053,0.4000,192
55,0.0840,0.0049,0.0789,0.0749,1.6251,0.3752,0.3689,192
56,0.0835,0.0047,0.0787,0.0745,1.5563,0.4135,0.4187,192
57,0.0834,0.0045,0.0786,0.0739,1.5407,0.4130,0.4203,192
58,0.0860,0.0048,0.0806,0.0773,1.9191,0.3127,0.3057,192
59,0.0837,0.0047,0.0789,0.0745,1.5579,0.4083,0.3982,192
60,0.0833,0.0044,0.0787,0.0748,1.5380,0.4321,0.4412,192
61,0.0826,0.0041,0.0782,0.0736,1.5106,0.4159,0.4057,189
62,0.0834,0.0043,0.0789,0.0745,1.5424,0.4161,0.4217,192
63,0.0826,0.0040,0.0783,0.0744,1.5314,0.4639,0.4317,192
64,0.0819,0.0041,0.0774,0.0717,1.6555,0.3652,0.3695,192
65,0.0784,0.0041,0.0738,0.0655,1.6943,0.3792,0.3761,192
66,0.0767,0.0041,0.0722,0.0636,1.5896,0.4267,0.4073,192
67,0.0762,0.0039,0.0720,0.0629,1.4998,0.4562,0.4401,192
68,0.0760,0.0038,0.0718,0.0623,1.6122,0.4038,0.3870,192
69,0.0748,0.0037,0.0707,0.0609,1.4688,0.4448,0.4451,192
70,0.0759,0.0037,0.0718,0.0627,1.5206,0.4360,0.4175,192
