epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
1,0.2899,0.0192,0.2757,0.4561,0.8038,0.6090,0.6168,89
2,0.2493,0.0093,0.2419,0.4325,0.9679,0.5349,0.5365,90
3,0.2476,0.0089,0.2402,0.4268,1.0709,0.4933,0.5017,90
4,0.2460,0.0080,0.2393,0.4218,1.0873,0.5017,0.5074,89
5,0.2423,0.0082,0.2354,0.4053,1.1701,0.4567,0.4669,89
6,0.2382,0.0079,0.2315,0.3918,1.1131,0.4964,0.5135,89
7,0.2329,0.0079,0.2262,0.3773,1.1001,0.5132,0.5070,89
8,0.2274,0.0081,0.2206,0.3606,1.1041,0.4961,0.4949,90
9,0.2201,0.0073,0.2140,0.3467,1.0078,0.5647,0.5633,90
10,0.2091,0.0076,0.2028,0.3182,0.9614,0.5995,0.5910,90
11,0.1960,0.0069,0.1904,0.2904,0.8114,0.6542,0.6471,90
12,0.1821,0.0077,0.1757,0.2588,1.0281,0.5271,0.5315,90
13,0.1745,0.0074,0.1684,0.2450,0.9776,0.6035,0.5902,90
14,0.1679,0.0072,0.1616,0.2321,1.2650,0.4479,0.4333,89
15,0.1646,0.0067,0.1587,0.2265,1.3137,0.4418,0.4387,90
16,0.1548,0.0073,0.1482,0.2046,1.5159,0.3663,0.3360,89
17,0.1508,0.0064,0.1447,0.1979,1.5858,0.3253,0.3050,90
18,0.1490,0.0066,0.1427,0.1948,1.6162,0.3236,0.3114,90
19,0.1428,0.0062,0.1367,0.1837,1.7078,0.3002,0.2824,90
20,0.1385,0.0070,0.1320,0.1723,1.6516,0.3107,0.3049,90
21,0.1351,0.0064,0.1290,0.1679,1.6182,0.3348,0.3058,90
22,0.1296,0.0064,0.1234,0.1568,1.7067,0.2944,0.2838,89
23,0.1266,0.0070,0.1200,0.1511,1.6343,0.3342,0.3165,90
24,0.1255,0.0058,0.1199,0.1508,1.5486,0.3560,0.3375,89
25,0.1245,0.0062,0.1187,0.1488,1.4889,0.3673,0.3572,89
26,0.1207,0.0064,0.1147,0.1392,1.5387,0.3533,0.3514,90
27,0.1181,0.0065,0.1120,0.1354,1.5467,0.3477,0.3361,89
28,0.1174,0.0062,0.1115,0.1341,1.5216,0.3645,0.3491,89
29,0.1144,0.0063,0.1085,0.1289,1.5165,0.3629,0.3587,90
30,0.1108,0.0065,0.1046,0.1207,1.6186,0.3241,0.3239,89
31,0.1098,0.0065,0.1037,0.1196,1.5322,0.3681,0.3567,89
32,0.1039,0.0063,0.0979,0.1089,1.5850,0.3641,0.3548,89
33,0.1012,0.0062,0.0954,0.1034,1.4811,0.4194,0.4194,89
