epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
1,0.3013,0.0245,0.2832,0.4597,0.8472,0.5864,0.5826,92
2,0.2509,0.0103,0.2426,0.4391,1.1089,0.4682,0.4705,92
3,0.248,0.0083,0.2412,0.4329,1.0374,0.5116,0.5139,92
4,0.2464,0.0086,0.2393,0.4237,1.1146,0.4749,0.4898,92
5,0.2433,0.0084,0.2363,0.4098,1.1435,0.4785,0.4813,92
6,0.2395,0.0084,0.2325,0.3968,1.1612,0.4742,0.4772,92
7,0.2369,0.0076,0.2304,0.3926,1.1193,0.5031,0.5041,92
8,0.2313,0.0088,0.2239,0.3725,1.2584,0.4345,0.4253,92
9,0.2273,0.0068,0.2213,0.3666,1.2326,0.4762,0.4554,92
10,0.2254,0.007,0.2193,0.3604,1.0912,0.5287,0.5276,92
11,0.2143,0.0073,0.208,0.3313,1.1514,0.4527,0.4613,92
12,0.2011,0.007,0.1951,0.3007,1.0883,0.4974,0.4903,92
13,0.1926,0.0071,0.1862,0.2826,1.3751,0.3941,0.3829,92
14,0.182,0.0069,0.1757,0.2606,1.5291,0.3527,0.3476,92
15,0.175,0.0064,0.1689,0.2473,1.5787,0.3712,0.3607,92
16,0.169,0.0074,0.1622,0.234,1.6863,0.3189,0.303,92
17,0.1655,0.0069,0.159,0.2274,1.6985,0.3102,0.2956,92
18,0.1598,0.0065,0.1536,0.2164,1.6504,0.3365,0.3253,92
19,0.1514,0.0066,0.1449,0.1984,1.8574,0.2745,0.2601,92
20,0.1461,0.0069,0.1395,0.188,1.8184,0.2882,0.2748,92
21,0.144,0.0073,0.1372,0.1845,1.6883,0.3245,0.3109,92
22,0.1432,0.0071,0.1365,0.182,1.7946,0.2918,0.2807,92
23,0.1386,0.0075,0.1315,0.1729,1.8732,0.2803,0.2718,92
24,0.1362,0.007,0.1295,0.1687,1.7417,0.3085,0.2954,92
25,0.1349,0.0072,0.128,0.1651,1.7434,0.2965,0.2906,92
26,0.1305,0.0072,0.1238,0.1573,1.7121,0.317,0.3039,92
27,0.1276,0.0067,0.1213,0.1532,1.6449,0.3472,0.3393,92
28,0.127,0.0069,0.1205,0.1522,1.626,0.3189,0.3228,92
29,0.1227,0.0069,0.1162,0.1431,1.7162,0.2967,0.2879,92
30,0.1196,0.007,0.113,0.1376,1.7044,0.3088,0.3087,92
31,0.1169,0.0063,0.1108,0.1337,1.6987,0.3085,0.2983,92
