epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
1,0.3022,0.0225,0.2856,0.4566,0.7991,0.6132,0.6166,66
2,0.2473,0.0120,0.2380,0.4163,0.9738,0.5265,0.5271,66
3,0.2441,0.0102,0.2360,0.4098,0.9781,0.5307,0.5491,66
4,0.2426,0.0096,0.2348,0.4075,1.0748,0.4907,0.4995,66
5,0.2414,0.0094,0.2337,0.4030,1.1071,0.4826,0.4851,66
6,0.2372,0.0090,0.2297,0.3899,1.1856,0.4550,0.4671,66
7,0.2319,0.0095,0.2239,0.3750,1.2568,0.4389,0.4437,66
8,0.2240,0.0086,0.2166,0.3544,1.3593,0.3921,0.3964,66
9,0.2178,0.0087,0.2103,0.3375,1.4120,0.3820,0.3715,66
10,0.2076,0.0088,0.2001,0.3130,1.3121,0.4311,0.4204,66
11,0.1958,0.0082,0.1888,0.2883,1.1949,0.4895,0.4737,66
12,0.1881,0.0092,0.1803,0.2714,1.3199,0.4277,0.4256,66
13,0.1852,0.0089,0.1777,0.2676,1.2314,0.4851,0.4681,66
14,0.1831,0.0087,0.1759,0.2634,1.1713,0.5074,0.4943,66
15,0.1804,0.0096,0.1726,0.2562,1.1495,0.5042,0.4980,66
16,0.1764,0.0088,0.1691,0.2499,1.0816,0.5675,0.5437,66
17,0.1741,0.0095,0.1664,0.2446,1.0350,0.5850,0.5639,66
18,0.1716,0.0093,0.1640,0.2401,1.1094,0.5045,0.4974,66
19,0.1689,0.0093,0.1612,0.2350,1.0980,0.5421,0.5290,66
20,0.1657,0.0099,0.1576,0.2274,1.1486,0.5098,0.4975,66
21,0.1638,0.0098,0.1559,0.2242,1.1136,0.5315,0.5319,66
22,0.1622,0.0096,0.1543,0.2215,1.2387,0.4532,0.4396,66
23,0.1604,0.0103,0.1517,0.2152,1.4506,0.4216,0.4014,66
24,0.1577,0.0105,0.1488,0.2099,1.5125,0.3753,0.3709,66
25,0.1553,0.0096,0.1470,0.2075,1.5382,0.3597,0.3602,66
26,0.1551,0.0104,0.1462,0.2067,1.6401,0.3342,0.3300,66
27,0.1554,0.0103,0.1463,0.2063,1.9089,0.2399,0.2423,66
28,0.1543,0.0098,0.1454,0.2042,2.0315,0.2111,0.2171,66
29,0.1531,0.0099,0.1444,0.2028,1.7579,0.3418,0.3343,66
30,0.1517,0.0099,0.1426,0.1990,2.1330,0.2266,0.2215,66
31,0.1478,0.0102,0.1381,0.1889,2.6358,0.1370,0.1332,66
32,0.1450,0.0097,0.1351,0.1838,3.1005,0.0906,0.0915,66
33,0.1436,0.0101,0.1334,0.1815,3.1451,0.0946,0.0911,66
34,0.1431,0.0100,0.1326,0.1799,3.4363,0.0682,0.0686,66
35,0.1418,0.0095,0.1320,0.1791,3.1422,0.1016,0.1007,66
36,0.1402,0.0102,0.1310,0.1767,2.1446,0.2930,0.3002,66
37,0.1370,0.0105,0.1269,0.1683,2.6940,0.1492,0.1535,66
