epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
1,0.2947,0.0245,0.2767,0.4549,0.7994,0.6244,0.6247,77
2,0.2487,0.0120,0.2394,0.4223,0.9301,0.5664,0.5597,77
3,0.2453,0.0108,0.2369,0.4106,0.9171,0.5870,0.5822,77
4,0.2421,0.0100,0.2341,0.4007,0.9812,0.5358,0.5536,77
5,0.2385,0.0086,0.2314,0.3927,0.9991,0.5347,0.5400,77
6,0.2361,0.0084,0.2293,0.3875,0.9223,0.5831,0.5812,77
7,0.2261,0.0090,0.2188,0.3566,0.9428,0.5719,0.5759,77
8,0.2200,0.0073,0.2141,0.3458,0.7454,0.6954,0.6788,77
9,0.2163,0.0081,0.2098,0.3354,0.7986,0.6353,0.6339,77
10,0.2121,0.0078,0.2058,0.3260,0.8512,0.6030,0.6091,77
11,0.2073,0.0068,0.2017,0.3161,0.8492,0.6189,0.6213,76
12,0.2021,0.0076,0.1958,0.3027,0.9808,0.5330,0.5354,77
13,0.1956,0.0078,0.1889,0.2870,1.2012,0.4138,0.4298,77
14,0.1896,0.0075,0.1831,0.2764,1.2418,0.4347,0.4270,77
15,0.1844,0.0073,0.1778,0.2648,1.5191,0.3413,0.3313,77
16,0.1791,0.0074,0.1722,0.2530,1.6491,0.3061,0.3036,77
17,0.1764,0.0070,0.1699,0.2491,1.5688,0.3478,0.3340,77
18,0.1722,0.0076,0.1653,0.2396,1.5803,0.3281,0.3187,77
19,0.1684,0.0069,0.1620,0.2338,1.5622,0.3414,0.3285,77
20,0.1622,0.0076,0.1552,0.2186,1.6598,0.2912,0.2852,77
21,0.1567,0.0067,0.1503,0.2090,1.7429,0.2762,0.2692,77
22,0.1537,0.0065,0.1475,0.2035,1.7037,0.2976,0.2890,77
23,0.1502,0.0069,0.1436,0.1967,1.8130,0.2620,0.2576,77
24,0.1434,0.0066,0.1368,0.1816,1.9656,0.2232,0.2191,77
25,0.1389,0.0064,0.1325,0.1750,1.9365,0.2430,0.2384,77
26,0.1343,0.0070,0.1273,0.1641,2.0986,0.2037,0.2012,77
27,0.1313,0.0066,0.1245,0.1589,2.1583,0.2052,0.2000,77
28,0.1303,0.0069,0.1235,0.1575,2.0632,0.2083,0.2013,77
29,0.1296,0.0068,0.1228,0.1561,2.0638,0.2300,0.2238,77
30,0.1288,0.0067,0.1219,0.1549,2.1636,0.1852,0.1830,77
31,0.1280,0.0070,0.1208,0.1521,2.3012,0.1810,0.1794,77
32,0.1246,0.0079,0.1166,0.1437,2.5438,0.1419,0.1418,77
33,0.1225,0.0072,0.1150,0.1414,2.4870,0.1666,0.1626,77
34,0.1181,0.0063,0.1110,0.1323,2.6969,0.1322,0.1271,77
35,0.1156,0.0064,0.1087,0.1276,2.4556,0.1807,0.1818,77
36,0.1149,0.0067,0.1078,0.1274,2.3869,0.1940,0.1928,77
37,0.1147,0.0066,0.1075,0.1261,2.5864,0.1624,0.1579,77
38,0.1101,0.0072,0.1024,0.1167,2.6292,0.1548,0.1572,77
39,0.1082,0.0069,0.1008,0.1135,2.5673,0.1795,0.1731,77
40,0.1063,0.0063,0.0995,0.1112,2.3500,0.2226,0.2234,77
41,0.1069,0.0066,0.0998,0.1117,2.4642,0.1919,0.1937,77
42,0.1053,0.0065,0.0982,0.1090,2.5151,0.1752,0.1687,77
43,0.1034,0.0064,0.0962,0.1044,2.6861,0.1541,0.1430,77
44,0.0993,0.0060,0.0924,0.0978,2.6948,0.1498,0.1563,77
45,0.0989,0.0066,0.0915,0.0963,2.7400,0.1457,0.1403,77
46,0.0977,0.0064,0.0905,0.0938,2.6113,0.1866,0.1876,77
47,0.0971,0.0064,0.0901,0.0934,2.5317,0.1826,0.1791,77
48,0.0961,0.0059,0.0893,0.0926,2.6066,0.1760,0.1730,77
49,0.0964,0.0059,0.0896,0.0931,2.6729,0.1616,0.1665,77
50,0.0958,0.0057,0.0894,0.0927,2.4496,0.2407,0.2339,77
51,0.0958,0.0064,0.0887,0.0922,2.6082,0.1829,0.1754,77
52,0.0961,0.0061,0.0890,0.0921,2.7956,0.1260,0.1315,77
53,0.0949,0.0060,0.0881,0.0906,2.6029,0.2035,0.2070,77
54,0.0920,0.0063,0.0846,0.0831,2.9885,0.1219,0.1212,77
55,0.0898,0.0061,0.0826,0.0806,2.9299,0.1712,0.1605,77
56,0.0882,0.0058,0.0814,0.0786,2.7335,0.1845,0.1771,77
57,0.0884,0.0056,0.0817,0.0786,2.8257,0.1534,0.1549,77
58,0.0868,0.0058,0.0801,0.0756,2.6827,0.1958,0.1957,77
59,0.0843,0.0063,0.0769,0.0695,2.9670,0.1256,0.1169,77
60,0.0823,0.0062,0.0749,0.0660,3.0466,0.1300,0.1301,77
61,0.0817,0.0063,0.0746,0.0662,2.7095,0.1998,0.2016,77
62,0.0797,0.0060,0.0729,0.0631,2.5129,0.2419,0.2394,77
63,0.0791,0.0059,0.0725,0.0622,2.4849,0.2789,0.2775,77
64,0.0788,0.0060,0.0723,0.0621,2.3356,0.2685,0.2579,77
65,0.0797,0.0058,0.0730,0.0639,2.6512,0.1669,0.1627,77
66,0.0804,0.0061,0.0729,0.0635,3.2369,0.1244,0.1240,77
67,0.0817,0.0077,0.0721,0.0618,4.2167,0.0368,0.0372,77
68,0.0794,0.0066,0.0709,0.0606,3.9136,0.0609,0.0701,77
69,0.0779,0.0056,0.0718,0.0615,2.1714,0.3773,0.3541,77
70,0.0776,0.0054,0.0715,0.0617,2.3008,0.3240,0.3250,77
71,0.0779,0.0056,0.0717,0.0618,2.2796,0.2470,0.2417,77
72,0.0767,0.0051,0.0710,0.0611,2.0849,0.3272,0.3278,77
73,0.0770,0.0057,0.0709,0.0605,2.1907,0.3087,0.3037,77
74,0.0784,0.0057,0.0705,0.0598,3.8358,0.0640,0.0604,77
75,0.0774,0.0056,0.0700,0.0591,3.4881,0.1232,0.1300,77
76,0.0768,0.0051,0.0708,0.0606,2.4040,0.2625,0.2443,77
77,0.0760,0.0057,0.0697,0.0586,2.2673,0.3013,0.2864,77
78,0.0730,0.0056,0.0665,0.0525,2.5906,0.2345,0.2336,77
79,0.0675,0.0057,0.0609,0.0442,2.5093,0.2621,0.2554,77
80,0.0648,0.0055,0.0582,0.0404,2.7894,0.1780,0.1688,77
81,0.0642,0.0061,0.0574,0.0398,2.5428,0.2682,0.2746,77
82,0.0644,0.0058,0.0575,0.0395,2.8602,0.1911,0.1771,77
83,0.0633,0.0055,0.0570,0.0392,2.4155,0.2555,0.2411,77
84,0.0621,0.0052,0.0563,0.0385,2.2264,0.3339,0.3233,77
85,0.0616,0.0052,0.0556,0.0373,2.2916,0.3123,0.3050,77
86,0.0630,0.0062,0.0554,0.0373,3.2418,0.1592,0.1543,77
87,0.0632,0.0063,0.0549,0.0361,3.8900,0.0684,0.0694,77
88,0.0592,0.0053,0.0527,0.0327,2.7899,0.1979,0.1905,77
89,0.0559,0.0051,0.0495,0.0279,2.8387,0.1630,0.1529,77
90,0.0544,0.0055,0.0482,0.0269,2.3712,0.3572,0.3438,77
91,0.0540,0.0054,0.0478,0.0263,2.3942,0.2356,0.2370,77
92,0.0557,0.0059,0.0478,0.0256,3.8223,0.0724,0.0713,76
93,0.0543,0.0055,0.0475,0.0255,3.0201,0.1766,0.1719,77
94,0.0534,0.0047,0.0477,0.0262,2.4431,0.2770,0.2759,77
95,0.0542,0.0052,0.0479,0.0263,2.7159,0.1812,0.1746,77
96,0.0537,0.0050,0.0477,0.0262,2.4780,0.2874,0.2778,77
97,0.0530,0.0047,0.0473,0.0254,2.4163,0.2978,0.2976,77
98,0.0529,0.0048,0.0471,0.0255,2.3919,0.3063,0.2950,77
99,0.0534,0.0051,0.0474,0.0266,2.4438,0.2511,0.2573,77
