epoch,unet_loss,encoder_mse,decoder_mse,bit-error,g_adv_bce,d_cov_bce,d_enc_bce,encoder-loss,adv-loss,mode,artefacts
1,0.4054,0.0278,0.2604,0.4623,1.2092,0.4342,0.4195,5,0.005,train,yes
2,0.3002,0.0076,0.2474,0.459,2.9513,0.0917,0.0881,5,0.005,train,yes
3,0.299,0.0063,0.247,0.4571,4.0745,0.0427,0.0434,5,0.005,train,yes
4,0.2984,0.0061,0.2466,0.4545,4.2362,0.0591,0.0647,5,0.005,train,yes
5,0.294,0.0053,0.2455,0.4477,4.447,0.0606,0.0659,5,0.005,train,yes
6,0.2973,0.0054,0.2446,0.4442,5.151,0.0334,0.0336,5,0.005,train,yes
7,0.2925,0.0048,0.2423,0.4324,5.2832,0.0412,0.044,5,0.005,train,yes
8,0.2945,0.0051,0.238,0.4124,6.2322,0.0122,0.0139,5,0.005,train,yes
9,0.2898,0.0046,0.2352,0.4029,6.3351,0.0153,0.0153,5,0.005,train,yes
10,0.2868,0.0044,0.2304,0.3879,6.9012,0.0035,0.003,5,0.005,train,yes
11,0.2775,0.0046,0.2183,0.3535,7.228,0.0103,0.0052,5,0.005,train,yes
12,0.2561,0.0046,0.2004,0.311,6.5464,0.0169,0.0223,5,0.005,train,yes
13,0.2375,0.0045,0.1805,0.2686,6.912,0.0085,0.0095,5,0.005,train,yes
14,0.2208,0.0044,0.1641,0.2359,6.9316,0.0132,0.0138,5,0.005,train,yes
15,0.2083,0.004,0.1506,0.2104,7.4951,0.0059,0.0067,5,0.005,train,yes
16,0.1939,0.0042,0.1359,0.1814,7.4347,0.0177,0.0204,5,0.005,train,yes
17,0.1761,0.0046,0.1144,0.1381,7.7513,0.0124,0.0137,5,0.005,train,yes
18,0.1652,0.0041,0.1033,0.1176,8.2728,0.005,0.0053,5,0.005,train,yes
19,0.155,0.0046,0.0919,0.095,8.0218,0.0159,0.0215,5,0.005,train,yes
20,0.1419,0.0045,0.083,0.079,7.254,0.0272,0.0233,5,0.005,train,yes
21,0.1295,0.0047,0.067,0.0514,7.8254,0.0167,0.0243,5,0.005,train,yes
22,0.1214,0.0041,0.0582,0.0363,8.5108,0.0069,0.0083,5,0.005,train,yes
23,0.1136,0.0042,0.0523,0.029,8.021,0.0167,0.0188,5,0.005,train,yes
24,0.1054,0.0042,0.0429,0.0168,8.3067,0.0091,0.0097,5,0.005,train,yes
25,0.106,0.005,0.0352,0.0102,9.18,0.0073,0.0066,5,0.005,train,yes
26,0.0973,0.0039,0.0312,0.007,9.355,0.0039,0.0048,5,0.005,train,yes
27,0.0933,0.0043,0.0237,0.0025,9.6144,0.0054,0.0054,5,0.005,train,yes
28,0.0858,0.0041,0.0182,0.0003,9.3831,0.0074,0.0092,5,0.005,train,yes
29,0.08,0.0043,0.0166,0.0002,8.3526,0.0262,0.0296,5,0.005,train,yes
30,0.0801,0.0041,0.0163,0.0002,8.6717,0.0155,0.0211,5,0.005,train,yes
31,0.0705,0.005,0.0168,0.0002,5.7958,0.0524,0.0624,5,0.005,train,yes
32,0.0727,0.0048,0.0163,0.0002,6.4314,0.0555,0.0637,5,0.005,train,yes
33,0.0677,0.005,0.0166,0.0003,5.2512,0.0738,0.0865,5,0.005,train,yes
34,0.0695,0.005,0.0162,0.0002,5.6681,0.0806,0.0835,5,0.005,train,yes
35,0.0629,0.0047,0.0163,0.0001,4.6116,0.0685,0.0781,5,0.005,train,yes
36,0.0595,0.0048,0.0163,0.0002,3.8635,0.1523,0.1651,5,0.005,train,yes
37,0.0574,0.0047,0.0157,0.0002,3.6527,0.1449,0.1615,5,0.005,train,yes
38,0.0562,0.005,0.0159,0.0002,3.0539,0.2262,0.2309,5,0.005,train,yes
39,0.052,0.0046,0.0162,0.0001,2.556,0.2848,0.2983,5,0.005,train,yes
40,0.0542,0.0047,0.0156,0.0001,3.0444,0.1903,0.1876,5,0.005,train,yes
